Reference,Value,Footprint,Qty,P/N
"C1,C2,C3,C4,C6,C7,C10,C11,C12,C14,C15,C16,C17,C18,C19,C25",100nF,Capacitor_SMD:C_0805_2012Metric,16,C0805C104M5RACTU
"C5,C8,C9,C20,C23,C24",10uF,Capacitor_SMD:C_0805_2012Metric,6,TMK212BBJ106MGHT
C13,4.7uF,Capacitor_SMD:C_0805_2012Metric,1,GRM219R6YA475KA73D
"C21,C22",12p,Capacitor_SMD:C_0805_2012Metric,2,C0805C120K5HACTU
"C28,C29",47pF,Capacitor_SMD:C_0805_2012Metric,2,0805N470G160CT
"CR1,CR2",D5V0P4UR6SO-7,UTSVT_ICs:SOT26_DIO,2,D5V0P4UR6SO-7
"D1,D3",12V,LED_SMD:LED_0805_2012Metric,2,APTD2012LCGCK
D2,SD12_SOD323,Diode_SMD:D_SOD-323,1,"PESD15VL1BA,115"
D4,Heartbeat,LED_SMD:LED_0805_2012Metric,1,APTD2012LCGCK
D5,3.3V,LED_SMD:LED_0805_2012Metric,1,APTD2012LCGCK
"D12,D13,D14",LED,LED_SMD:LED_0805_2012Metric,3,APTD2012LCGCK
"FB1,FB4",FerriteBead,Inductor_SMD:L_0805_2012Metric,2,MFBW1V2012-121-R
J3,USB_B_Micro,Connector_USB:USB_Micro-B_Molex-105017-0001,1,105017-0001
J4,52465-2470,UTSVT_Connectors:524652470,1,52465-2470
L1,3.3uH,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,MLZ2012M3R3HT000
"R1,R7",27,Resistor_SMD:R_0805_2012Metric,2,CR0805-FX-27R0ELF
"R2,R8,R10,R13,R23,R27,R29",10K,Resistor_SMD:R_0805_2012Metric,7,CRCW080510K0FKEAC
"R3,R28",22.1k,Resistor_SMD:R_0805_2012Metric,2,CRCW080522K1FKEA
R4,10k,Resistor_SMD:R_0805_2012Metric,1,CRCW0805100KFKEAC
R5,200,Resistor_SMD:R_0805_2012Metric,1,CR0805-JW-201ELF
"R6,R11,R14,R17,R18",2.2k,Resistor_SMD:R_0805_2012Metric,5,SDR10EZPF2200
R16,120,Resistor_SMD:R_0805_2012Metric,1,CRCW080559R0FKEA
R19,45.3k,Resistor_SMD:R_0805_2012Metric,1,CRCW080545K3FKEA
"R21,R25",10k,Resistor_SMD:R_0805_2012Metric,2,RT0603FRE0710KL 
R22,1k,Resistor_SMD:R_0805_2012Metric,1,CRCW08051K00FKEAC
R24,100k,Resistor_SMD:R_0805_2012Metric,1,CRCW0805100KFKEAC
R26,4.7k,Resistor_SMD:R_0805_2012Metric,1,CRCW08054K70FKEAC
SW1,Reset,Button_Switch_SMD:SW_SPST_B3SL-1002P,1,B3SL-1002P
SW2,SW_SPDT,UTSVT_Mechanical:CJS-1200B_NDC,1,CJS-1200TB1
SW5,SW_Push,Button_Switch_SMD:SW_SPST_B3SL-1002P,1,B3SL-1002P
U1,STM32L431CBTx,Package_QFP:LQFP-48_7x7mm_P0.5mm,1,STM32L431CBT6
U2,ISO1044BD,Package_SO:SSOP-8_3.9x5.05mm_P1.27mm,1,595-ISO1044BD
U3,TPS562231DRLR,Package_TO_SOT_SMD:SOT-563,1,TPS562231DRLR
U4,RO-123.3S,UTSVT_ICs:RI3_DC_Converter,1,RO-123.3S 
U5,CDSOT23-T24CAN,Package_TO_SOT_SMD:SOT-23W,1,CDSOT23-T24CAN
U6,FT230XS-R,Package_SO:SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS-R
U7,LM76202QPWPRQ1,UTSVT_ICs:SOP65P640X120-17N,1,LM76202QPWPRQ1
Y1,8M,Crystal:Crystal_SMD_TXC_7A-2Pin_5x3.2mm,1,ABM3-8.000MHZ-D2Y-T
