Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C26, C9",0603,5,1uF,C15849
"C10, C18, C20, C23, C29, C3, C34, C35, C8",0805,9,10uF,C440198
"C11, C12, C14, C15, C16, C17, C25, C7",0603,8,100nF,C14663
"C13, C30, C32",0805,3,4.7uF,C98192
"C21, C22",0603,2,12p,C38523
"C24, C27, C28, C31, C33, C4",0603,6,0.1uF,C14663
C36,0603,1,100nF,
C5,0603,1,10nF,C57112
C6,0603,1,3.3nF,C107088
"CR1, CR2",D5V0P4UR6SO-7,2,D5V0P4UR6SO-7,C531179
D1,D_SOD-123F,1,MBR230S1F,C151335
D10,D_SOD-123F,1,TVS,C6165153
D11,0603,1,BUCK,C7371904
D12,0603,1,LED2,C7371904
D13,0603,1,LED1,C7371904
D14,0603,1,LED0,C7371904
D2,D_SOD-323_HandSoldering,1,TVS,C207246
D3,0603,1,CFLT,C84263
D4,0603,1,Heartbeat,C7371904
D5,D_SOD-123,1,1N5819HW,C82544
D6,SOT-143,1,SP0503BAHTG,C7074
D7,0603,1,24V,C7371904
D8,0603,1,3V3,C7371904
D9,0603,1,PFLT,C84263
"FB1, FB4",0603,2,FerriteBead,C354394
J1,Molex_Nano-Fit_105309-xx04_1x04_P2.50mm_Vertical,1,SWD,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4215-03-A,
J4,524652470,1,52465-2470,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,TRM,
L1,L_Coilcraft_MSS1246-XXX,1,100uH,
"R1, R23, R27, R29, R4, R9",0603,6,10k,C25804
"R10, R33",0603,2,10k,
"R11, R17, R18, R26, R5, R6, R7",0603,7,120,C22787
R12,0603,1,45.3k,
R13,0603,1,590,
"R14, R16",0603,2,5.1k,
R15,0603,1,2.1k,
R20,0603,1,402k,
R21,0603,1,1k,
R22,0603,1,22k,C31850
R24,0603,1,47k,C25819
"R25, R28",0603,2,4.3k,
R3,0603,1,16k,C137788
R30,0603,1,24m,
R32,0603,1,768,
R8,0603,1,332,
SW1,SW_TL3365AF180QG,1,RST,
SW2,SW_CJS-1200TA,1,BOOT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L431CBTx,C277951
U2,TPS5405DR,1,TPS5405DR,C488409
U3,SOT-223-3_TabPin2,1,LT1963AEST-3.3#TRPBF,C459918
U4,TCAN337DCNR,1,TCAN337,C130129
U5,CDSOT23-T24CAN,1,CDSOT23-T24CAN,C2959841
U6,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,1,TPS2115ADRBR,C140321
U7,LM76202QPWPRQ1,1,LM76202QPWPRQ1,C1849484
U8,CP2102N-A02-GQFN24,1,CP2102N-A02-GQFN24,C969151
U9,SOT-23-5,1,74AHC1G32,
Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,8M,C144380
