Designator,Mid X,Mid Y,Rotation,Layer
C1,150.5625,-84.4,270.0,top
C10,121.0,-99.25,90.0,top
C11,158.75,-94.5,270.0,top
C12,151.425,-102.6,0.0,bottom
C13,143.25,-100.25,90.0,top
C14,145.28488,-103.85988,270.0,top
C15,151.425,-100.71976,0.0,bottom
C16,155.28488,-93.31976,90.0,top
C17,145.28488,-93.247379,90.0,top
C18,121.0,-106.25,270.0,top
C19,146.775,-99.0,180.0,bottom
C2,142.75,-86.0,270.0,top
C20,152.5625,-84.4,270.0,top
C21,148.025,-109.31976,0.0,top
C22,151.525,-109.31976,180.0,top
C23,140.75,-86.2125,270.0,top
C24,146.775,-97.25,180.0,bottom
C25,139.6,-81.5,0.0,top
C26,119.0,-99.5,90.0,top
C27,116.0,-98.55,180.0,top
C28,119.7,-102.25,0.0,top
C29,128.25,-110.25,0.0,top
C3,138.5,-86.2125,270.0,top
C30,132.1625,-101.3,270.0,bottom
C31,130.2625,-101.0625,270.0,bottom
C32,135.2625,-99.1,180.0,bottom
C33,135.025,-97.2,180.0,bottom
C34,113.5,-93.6,270.0,top
C35,111.25,-93.6,270.0,top
C36,110.75,-84.25,270.0,bottom
C4,130.8,-87.5,180.0,top
C5,134.5,-78.294,90.0,top
C6,127.0,-80.794,90.0,top
C7,151.425,-99.0,0.0,bottom
C8,113.5,-87.8,90.0,top
C9,136.5,-85.9825,270.0,top
CR1,152.28488,-90.66976,90.0,top
CR2,148.28488,-90.66976,270.0,top
D1,133.15,-88.944,180.0,bottom
D10,129.5,-77.75,90.0,top
D11,111.75,-101.5,270.0,top
D12,118.25,-82.25,270.0,top
D13,120.5,-82.25,270.0,top
D14,122.75,-82.25,270.0,top
D2,154.75,-82.0,270.0,top
D3,155.975,-104.0,180.0,top
D4,116.0,-82.25,270.0,top
D5,128.8,-107.75,0.0,top
D6,137.922873,-101.9725,180.0,top
D7,143.25,-90.25,90.0,top
D8,140.75,-96.25,270.0,top
D9,136.75,-79.0,270.0,top
FB1,147.925,-100.71976,180.0,bottom
FB4,151.425,-97.1,180.0,bottom
J1,136.25,-92.195,90.0,top
J2,137.352873,-109.0975,0.0,top
J4,159.25,-93.375,270.0,bottom
JP1,146.745,-86.25,90.0,top
L1,121.25,-90.75,180.0,top
R1,140.1625,-82.5,180.0,bottom
R10,114.25,-86.25,90.0,bottom
R11,116.0,-86.25,90.0,bottom
R12,151.4125,-82.25,0.0,bottom
R13,151.4125,-80.5,180.0,bottom
R14,136.972873,-109.035,270.0,bottom
R15,151.4125,-80.5,180.0,top
R16,139.172873,-109.035,270.0,bottom
R17,120.5,-86.25,90.0,bottom
R18,122.75,-86.25,90.0,bottom
R20,151.4,-78.8,180.0,top
R21,135.025,-95.5,180.0,bottom
R22,136.25,-99.25,180.0,top
R23,155.1625,-82.25,0.0,bottom
R24,133.75,-100.1625,270.0,top
R25,140.0,-89.0,180.0,bottom
R26,140.75,-100.0,90.0,top
R27,139.6,-79.9,0.0,top
R28,136.5,-82.5,0.0,bottom
R29,156.995,-94.5,90.0,top
R3,127.0,-77.2065,90.0,top
R30,139.6,-78.3,0.0,top
R32,112.0,-104.25,180.0,top
R33,112.5,-86.25,270.0,bottom
R4,158.75,-101.0875,90.0,top
R5,157.0,-101.0875,270.0,top
R6,118.25,-86.25,90.0,bottom
R7,146.75,-83.75,0.0,bottom
R8,112.4125,-101.4,90.0,bottom
R9,117.7125,-98.7,0.0,bottom
SW1,159.25,-90.75,0.0,top
SW2,119.25,-76.9,180.0,top
U1,150.175,-98.63226,0.0,top
U2,131.75,-82.944,180.0,top
U3,126.7525,-102.9,180.0,top
U4,146.775,-94.25,90.0,bottom
U5,146.75,-89.95,90.0,bottom
U6,115.565,-101.375,0.0,top
U7,145.6005,-81.225,180.0,top
U8,130.3125,-96.65,90.0,top
U9,112.1125,-84.2,180.0,top
Y1,149.675,-106.31976,0.0,top
